sep=;
false;55,59,;http://www.lamoda.ru/p/MP002XM20VIC;
false;55,;http://www.lamoda.ru/p/MP002XM20VID;
false;55,61,;http://www.lamoda.ru/p/MP002XM20VIG;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XM20VII;
false;55,59,61,;http://www.lamoda.ru/p/MP002XM20VIJ;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XM20VIK;
false;55,56,57,61,;http://www.lamoda.ru/p/MP002XM246AU;
false;55,56,58,60,;http://www.lamoda.ru/p/MP002XM246AV;
false;55,56,57,58,60,62,;http://www.lamoda.ru/p/MP002XM246AW;
false;22,23,26,27,;http://www.lamoda.ru/p/MP002XM24QW2;
false;22,26,27,;http://www.lamoda.ru/p/MP002XM24QW6;
false;56,57,58,59,61,;http://www.lamoda.ru/p/MP002XU02EVH;
false;55,56,57,58,59,60,;http://www.lamoda.ru/p/MP002XU02EVJ;
false;55,61,;http://www.lamoda.ru/p/MP002XU02EVK;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02EVP;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU02EVR;
false;O/S;http://www.lamoda.ru/p/MP002XU02HKM;
false;55,59,;http://www.lamoda.ru/p/MP002XU02HKW;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XU02HL1;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02HL3;
true;O/S;http://www.lamoda.ru/p/MP002XU02HL4;
false;55,57,61,63,;http://www.lamoda.ru/p/MP002XU02HL7;
true;O/S;http://www.lamoda.ru/p/MP002XU02HLB;
false;55,;http://www.lamoda.ru/p/MP002XU02HNE;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02HOS;
false;55,59,63,;http://www.lamoda.ru/p/MP002XU02HOT;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02HP3;
false;55,63,;http://www.lamoda.ru/p/MP002XU02HP5;
false;55,57,63,;http://www.lamoda.ru/p/MP002XU02HP8;
false;55,57,63,;http://www.lamoda.ru/p/MP002XU02HP9;
false;57,59,63,;http://www.lamoda.ru/p/MP002XU02HPA;
false;O/S;http://www.lamoda.ru/p/MP002XU02HPE;
false;57,61,63,;http://www.lamoda.ru/p/MP002XU02HPQ;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02HPW;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU02HQ2;
false;58,61,;http://www.lamoda.ru/p/MP002XU02HQ5;
false;55,61,;http://www.lamoda.ru/p/MP002XU02HQB;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02HQC;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02HQF;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02HQG;
false;55,56,57,59,60,61,;http://www.lamoda.ru/p/MP002XU02HQS;
true;O/S;http://www.lamoda.ru/p/MP002XU02HQZ;
false;59,61,;http://www.lamoda.ru/p/MP002XU02HST;
true;O/S;http://www.lamoda.ru/p/MP002XU02HSU;
false;59,61,;http://www.lamoda.ru/p/MP002XU02K43;
false;O/S;http://www.lamoda.ru/p/MP002XU02KEA;
false;O/S;http://www.lamoda.ru/p/MP002XU02KEL;
false;55,61,;http://www.lamoda.ru/p/MP002XU02KF9;
false;57,59,;http://www.lamoda.ru/p/MP002XU02KGP;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU02KGR;
false;O/S;http://www.lamoda.ru/p/MP002XU02NJN;
true;O/S;http://www.lamoda.ru/p/MP002XU02NJT;
false;O/S;http://www.lamoda.ru/p/MP002XU02NJU;
false;55,;http://www.lamoda.ru/p/MP002XU02NK3;
false;55,;http://www.lamoda.ru/p/MP002XU02RXH;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02RXI;
false;57,61,;http://www.lamoda.ru/p/MP002XU02RXJ;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU02SFQ;
false;55,56,62,;http://www.lamoda.ru/p/MP002XU02SFR;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02SFS;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02SFT;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU02SFX;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02SFZ;
false;59,61,;http://www.lamoda.ru/p/MP002XU02TBP;
true;O/S;http://www.lamoda.ru/p/MP002XU02TBS;
false;55,61,;http://www.lamoda.ru/p/MP002XU02TBU;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02TBV;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU02TBY;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02TBZ;
true;O/S;http://www.lamoda.ru/p/MP002XU02TC0;
false;55,59,;http://www.lamoda.ru/p/MP002XU02TC1;
false;57,59,;http://www.lamoda.ru/p/MP002XU02TC2;
false;55,56,59,60,62,64,;http://www.lamoda.ru/p/MP002XU02YLD;
true;O/S;http://www.lamoda.ru/p/MP002XU02YLE;
false;56,58,59,60,61,62,64,;http://www.lamoda.ru/p/MP002XU02YLF;
false;57,58,60,;http://www.lamoda.ru/p/MP002XU02YLG;
false;57,61,;http://www.lamoda.ru/p/MP002XU02YLH;
false;56,58,60,62,63,;http://www.lamoda.ru/p/MP002XU02YLJ;
false;55,58,60,62,63,;http://www.lamoda.ru/p/MP002XU02YLK;
true;O/S;http://www.lamoda.ru/p/MP002XU02YLP;
false;55,56,58,59,60,61,62,63,;http://www.lamoda.ru/p/MP002XU02YLS;
false;61,;http://www.lamoda.ru/p/MP002XU02YM7;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02YMA;
false;56,58,60,62,;http://www.lamoda.ru/p/MP002XU02YMB;
false;55,;http://www.lamoda.ru/p/MP002XU02YMC;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU02YMD;
false;56,59,61,63,;http://www.lamoda.ru/p/MP002XU02YME;
false;55,56,58,60,61,62,63,;http://www.lamoda.ru/p/MP002XU02YMF;
false;56,58,59,60,61,62,63,;http://www.lamoda.ru/p/MP002XU02YMH;
false;55,56,57,58,61,62,63,;http://www.lamoda.ru/p/MP002XU02YMN;
false;63,;http://www.lamoda.ru/p/MP002XU02YMO;
false;55,56,57,58,60,61,62,63,;http://www.lamoda.ru/p/MP002XU02YMQ;
false;57,58,60,61,62,63,;http://www.lamoda.ru/p/MP002XU02YMR;
false;55,56,57,60,63,;http://www.lamoda.ru/p/MP002XU02YMS;
false;57,61,63,;http://www.lamoda.ru/p/MP002XU02YMT;
false;55,;http://www.lamoda.ru/p/MP002XU02YMV;
false;55,61,;http://www.lamoda.ru/p/MP002XU02YMW;
false;56,57,58,60,;http://www.lamoda.ru/p/MP002XU02YMY;
false;55,56,59,60,;http://www.lamoda.ru/p/MP002XU02YN1;
false;55,56,57,60,61,;http://www.lamoda.ru/p/MP002XU02YN5;
false;55,59,;http://www.lamoda.ru/p/MP002XU02YN6;
false;55,57,60,;http://www.lamoda.ru/p/MP002XU02YN9;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU02YNA;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU02YNB;
false;55,;http://www.lamoda.ru/p/MP002XU02YND;
true;O/S;http://www.lamoda.ru/p/MP002XU02YNI;
false;56,58,60,61,62,;http://www.lamoda.ru/p/MP002XU02YNK;
false;57,61,;http://www.lamoda.ru/p/MP002XU02YNM;
false;57,61,;http://www.lamoda.ru/p/MP002XU02YNN;
false;55,56,58,60,61,;http://www.lamoda.ru/p/MP002XU02YNO;
false;55,56,57,60,61,63,;http://www.lamoda.ru/p/MP002XU02YNR;
false;55,63,;http://www.lamoda.ru/p/MP002XU02YNS;
false;57,58,59,60,;http://www.lamoda.ru/p/MP002XU02YNT;
false;57,58,60,61,;http://www.lamoda.ru/p/MP002XU02YNU;
false;56,58,59,60,;http://www.lamoda.ru/p/MP002XU02YNV;
false;55,56,58,60,61,;http://www.lamoda.ru/p/MP002XU02YNW;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU02YNZ;
false;58,;http://www.lamoda.ru/p/MP002XU02YO3;
false;55,61,;http://www.lamoda.ru/p/MP002XU02YO4;
false;55,;http://www.lamoda.ru/p/MP002XU02YO5;
false;56,57,59,60,;http://www.lamoda.ru/p/MP002XU02YO7;
false;56,57,;http://www.lamoda.ru/p/MP002XU02YO8;
false;56,57,58,;http://www.lamoda.ru/p/MP002XU02YO9;
false;57,58,59,60,;http://www.lamoda.ru/p/MP002XU02YOA;
false;O/S;http://www.lamoda.ru/p/MP002XU02Z0L;
false;63,;http://www.lamoda.ru/p/MP002XU02Z0N;
true;O/S;http://www.lamoda.ru/p/MP002XU02Z0S;
false;61,;http://www.lamoda.ru/p/MP002XU02Z4F;
true;O/S;http://www.lamoda.ru/p/MP002XU0330Y;
true;O/S;http://www.lamoda.ru/p/MP002XU03310;
false;59,;http://www.lamoda.ru/p/MP002XU03312;
false;55,;http://www.lamoda.ru/p/MP002XU03316;
true;O/S;http://www.lamoda.ru/p/MP002XU03319;
true;O/S;http://www.lamoda.ru/p/MP002XU0331N;
true;O/S;http://www.lamoda.ru/p/MP002XU0331T;
false;O/S;http://www.lamoda.ru/p/MP002XU0331Y;
true;O/S;http://www.lamoda.ru/p/MP002XU03328;
true;O/S;http://www.lamoda.ru/p/MP002XU0332N;
true;O/S;http://www.lamoda.ru/p/MP002XU0332O;
false;O/S;http://www.lamoda.ru/p/MP002XU0332W;
true;O/S;http://www.lamoda.ru/p/MP002XU03332;
true;O/S;http://www.lamoda.ru/p/MP002XU03333;
false;55,61,;http://www.lamoda.ru/p/MP002XU0362C;
false;O/S;http://www.lamoda.ru/p/MP002XU0362D;
false;O/S;http://www.lamoda.ru/p/MP002XU0362F;
true;O/S;http://www.lamoda.ru/p/MP002XU0362H;
true;O/S;http://www.lamoda.ru/p/MP002XU0362K;
true;O/S;http://www.lamoda.ru/p/MP002XU0362L;
true;O/S;http://www.lamoda.ru/p/MP002XU0362Q;
true;O/S;http://www.lamoda.ru/p/MP002XU0362S;
true;O/S;http://www.lamoda.ru/p/MP002XU0362W;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XU03635;
true;O/S;http://www.lamoda.ru/p/MP002XU03636;
true;O/S;http://www.lamoda.ru/p/MP002XU0363A;
false;O/S;http://www.lamoda.ru/p/MP002XU0363B;
false;O/S;http://www.lamoda.ru/p/MP002XU0363N;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU03643;
false;55,59,;http://www.lamoda.ru/p/MP002XU03644;
false;55,;http://www.lamoda.ru/p/MP002XU03645;
false;55,61,;http://www.lamoda.ru/p/MP002XU03647;
false;55,61,;http://www.lamoda.ru/p/MP002XU03649;
false;55,61,;http://www.lamoda.ru/p/MP002XU0364B;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU0364H;
false;61,;http://www.lamoda.ru/p/MP002XU0364I;
false;55,56,57,58,;http://www.lamoda.ru/p/MP002XU0364M;
false;55,63,;http://www.lamoda.ru/p/MP002XU0364Q;
false;55,63,;http://www.lamoda.ru/p/MP002XU0364V;
false;55,57,61,63,;http://www.lamoda.ru/p/MP002XU0364W;
true;O/S;http://www.lamoda.ru/p/MP002XU0364X;
false;61,63,;http://www.lamoda.ru/p/MP002XU0364Y;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU0364Z;
false;55,59,;http://www.lamoda.ru/p/MP002XU0365D;
false;55,63,;http://www.lamoda.ru/p/MP002XU0365E;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XU0365F;
false;55,57,;http://www.lamoda.ru/p/MP002XU0365G;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU0365K;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU0365N;
false;57,59,63,;http://www.lamoda.ru/p/MP002XU0365Q;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU036IX;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU036J0;
false;61,63,;http://www.lamoda.ru/p/MP002XU036J2;
false;55,63,;http://www.lamoda.ru/p/MP002XU036J5;
true;O/S;http://www.lamoda.ru/p/MP002XU036J9;
false;O/S;http://www.lamoda.ru/p/MP002XU036OI;
true;O/S;http://www.lamoda.ru/p/MP002XU036OT;
true;O/S;http://www.lamoda.ru/p/MP002XU036PF;
false;55,63,;http://www.lamoda.ru/p/MP002XU036Q5;
true;O/S;http://www.lamoda.ru/p/MP002XU036QA;
false;59,63,;http://www.lamoda.ru/p/MP002XU036QR;
false;55,;http://www.lamoda.ru/p/MP002XU036QS;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU036R2;
false;55,;http://www.lamoda.ru/p/MP002XU036R4;
false;58,59,60,62,;http://www.lamoda.ru/p/MP002XU036R6;
false;55,61,;http://www.lamoda.ru/p/MP002XU036RE;
false;55,61,;http://www.lamoda.ru/p/MP002XU037CU;
false;55,61,;http://www.lamoda.ru/p/MP002XU037CW;
false;59,61,;http://www.lamoda.ru/p/MP002XU037CX;
false;55,61,;http://www.lamoda.ru/p/MP002XU037CZ;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU037DD;
false;55,;http://www.lamoda.ru/p/MP002XU037DM;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU037DV;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU037FQ;
false;55,;http://www.lamoda.ru/p/MP002XU0393W;
false;55,;http://www.lamoda.ru/p/MP002XU0393Y;
false;61,;http://www.lamoda.ru/p/MP002XU03940;
false;55,;http://www.lamoda.ru/p/MP002XU03942;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU03944;
false;55,;http://www.lamoda.ru/p/MP002XU03945;
false;55,;http://www.lamoda.ru/p/MP002XU03946;
false;O/S;http://www.lamoda.ru/p/MP002XU03E0Q;
true;O/S;http://www.lamoda.ru/p/MP002XU03E0S;
false;O/S;http://www.lamoda.ru/p/MP002XU03E0T;
true;O/S;http://www.lamoda.ru/p/MP002XU03E0V;
false;O/S;http://www.lamoda.ru/p/MP002XU03E0W;
false;O/S;http://www.lamoda.ru/p/MP002XU03E10;
true;O/S;http://www.lamoda.ru/p/MP002XU03E11;
true;O/S;http://www.lamoda.ru/p/MP002XU03E15;
false;O/S;http://www.lamoda.ru/p/MP002XU03E17;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU03G0G;
false;57,58,60,61,;http://www.lamoda.ru/p/MP002XU03G0L;
false;58,60,;http://www.lamoda.ru/p/MP002XU03G0M;
false;56,57,58,60,61,;http://www.lamoda.ru/p/MP002XU03G0N;
false;56,57,59,60,61,;http://www.lamoda.ru/p/MP002XU03G0P;
false;55,56,58,60,;http://www.lamoda.ru/p/MP002XU03G0Q;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU03G0S;
false;57,61,;http://www.lamoda.ru/p/MP002XU03G12;
false;O/S;http://www.lamoda.ru/p/MP002XU03G17;
false;O/S;http://www.lamoda.ru/p/MP002XU03G19;
false;O/S;http://www.lamoda.ru/p/MP002XU03GEG;
false;O/S;http://www.lamoda.ru/p/MP002XU03HRL;
false;O/S;http://www.lamoda.ru/p/MP002XU03HRT;
false;57,63,;http://www.lamoda.ru/p/MP002XU03HZ5;
false;55,57,59,;http://www.lamoda.ru/p/MP002XU03HZ6;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU03JOE;
false;58,59,60,61,63,;http://www.lamoda.ru/p/MP002XU03K52;
false;56,57,58,61,62,63,;http://www.lamoda.ru/p/MP002XU03K53;
false;56,57,58,59,60,62,63,;http://www.lamoda.ru/p/MP002XU03K54;
false;55,63,;http://www.lamoda.ru/p/MP002XU03K55;
false;61,63,;http://www.lamoda.ru/p/MP002XU03K56;
false;O/S;http://www.lamoda.ru/p/MP002XU03K57;
false;O/S;http://www.lamoda.ru/p/MP002XU03K58;
true;O/S;http://www.lamoda.ru/p/MP002XU03K5A;
false;O/S;http://www.lamoda.ru/p/MP002XU03K5B;
false;O/S;http://www.lamoda.ru/p/MP002XU03K5C;
false;61,63,;http://www.lamoda.ru/p/MP002XU03K5F;
false;55,63,;http://www.lamoda.ru/p/MP002XU03K5G;
false;63,;http://www.lamoda.ru/p/MP002XU03K5H;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU03K5I;
false;O/S;http://www.lamoda.ru/p/MP002XU03K5M;
false;O/S;http://www.lamoda.ru/p/MP002XU03K5T;
false;O/S;http://www.lamoda.ru/p/MP002XU03K5V;
false;O/S;http://www.lamoda.ru/p/MP002XU03K60;
true;O/S;http://www.lamoda.ru/p/MP002XU03K62;
true;O/S;http://www.lamoda.ru/p/MP002XU03K6A;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU03KJ9;
false;59,61,63,;http://www.lamoda.ru/p/MP002XU03KK7;
false;57,59,;http://www.lamoda.ru/p/MP002XU03KKB;
false;55,58,59,60,61,63,;http://www.lamoda.ru/p/MP002XU03KKG;
false;55,56,58,59,60,61,62,63,64,;http://www.lamoda.ru/p/MP002XU03KKL;
false;56,63,;http://www.lamoda.ru/p/MP002XU03KKU;
false;O/S;http://www.lamoda.ru/p/MP002XU03KLA;
false;O/S;http://www.lamoda.ru/p/MP002XU03KLB;
false;O/S;http://www.lamoda.ru/p/MP002XU03KLC;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU03KMJ;
false;55,59,61,;http://www.lamoda.ru/p/MP002XU03KMK;
false;59,61,63,;http://www.lamoda.ru/p/MP002XU03KMZ;
false;59,;http://www.lamoda.ru/p/MP002XU03KPR;
false;55,57,;http://www.lamoda.ru/p/MP002XU03KPX;
false;56,58,59,60,62,63,;http://www.lamoda.ru/p/MP002XU03PT4;
false;57,61,;http://www.lamoda.ru/p/MP002XU03PT5;
false;O/S;http://www.lamoda.ru/p/MP002XU03PT6;
false;55,63,;http://www.lamoda.ru/p/MP002XU03PT7;
false;56,58,62,63,;http://www.lamoda.ru/p/MP002XU03PT8;
false;56,58,59,60,62,63,;http://www.lamoda.ru/p/MP002XU03PT9;
false;56,58,60,61,62,63,;http://www.lamoda.ru/p/MP002XU03PTA;
false;55,58,59,60,61,63,;http://www.lamoda.ru/p/MP002XU03PTD;
false;O/S;http://www.lamoda.ru/p/MP002XU03QZ3;
false;55,56,57,58,59,60,62,63,;http://www.lamoda.ru/p/MP002XU03QZ6;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU03QZ8;
false;57,59,63,;http://www.lamoda.ru/p/MP002XU03QZA;
false;57,63,;http://www.lamoda.ru/p/MP002XU03QZB;
false;57,63,;http://www.lamoda.ru/p/MP002XU03QZC;
false;57,61,;http://www.lamoda.ru/p/MP002XU03QZD;
false;23,;http://www.lamoda.ru/p/MP002XU03R0S;
false;24,26,;http://www.lamoda.ru/p/MP002XU03R0T;
true;O/S;http://www.lamoda.ru/p/MP002XU03TA3;
false;O/S;http://www.lamoda.ru/p/MP002XU03TA6;
true;O/S;http://www.lamoda.ru/p/MP002XU03TAP;
true;O/S;http://www.lamoda.ru/p/MP002XU03WWF;
true;O/S;http://www.lamoda.ru/p/MP002XU03WWL;
false;55,63,;http://www.lamoda.ru/p/MP002XU03WWT;
false;55,;http://www.lamoda.ru/p/MP002XU03WWX;
false;55,57,59,;http://www.lamoda.ru/p/MP002XU03WX1;
false;56,57,58,60,61,62,63,;http://www.lamoda.ru/p/MP002XU03WYX;
false;56,57,58,62,63,;http://www.lamoda.ru/p/MP002XU03WYZ;
false;57,63,;http://www.lamoda.ru/p/MP002XU03WZ1;
false;55,56,58,60,62,;http://www.lamoda.ru/p/MP002XU03WZ6;
false;55,56,57,58,59,60,62,63,;http://www.lamoda.ru/p/MP002XU03WZ7;
false;57,59,;http://www.lamoda.ru/p/MP002XU03WZF;
false;O/S;http://www.lamoda.ru/p/MP002XU03WZQ;
false;O/S;http://www.lamoda.ru/p/MP002XU03WZS;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU03X1R;
false;63,;http://www.lamoda.ru/p/MP002XU03X2D;
true;O/S;http://www.lamoda.ru/p/MP002XU03XSE;
true;O/S;http://www.lamoda.ru/p/MP002XU03XSG;
false;56,58,59,60,62,63,;http://www.lamoda.ru/p/MP002XU03XSL;
false;55,56,57,58,62,;http://www.lamoda.ru/p/MP002XU03XSN;
false;56,58,60,62,63,;http://www.lamoda.ru/p/MP002XU03XSO;
false;55,63,;http://www.lamoda.ru/p/MP002XU03XSQ;
false;55,56,57,58,60,62,63,;http://www.lamoda.ru/p/MP002XU03XST;
false;55,56,58,62,63,;http://www.lamoda.ru/p/MP002XU03XSX;
false;55,56,57,60,62,63,;http://www.lamoda.ru/p/MP002XU03XSY;
false;55,56,58,60,62,63,;http://www.lamoda.ru/p/MP002XU03XSZ;
false;55,56,58,60,62,63,;http://www.lamoda.ru/p/MP002XU03XT0;
false;55,56,58,60,62,63,;http://www.lamoda.ru/p/MP002XU03XT1;
true;O/S;http://www.lamoda.ru/p/MP002XU03XT2;
false;O/S;http://www.lamoda.ru/p/MP002XU03XT6;
false;O/S;http://www.lamoda.ru/p/MP002XU03XTD;
false;O/S;http://www.lamoda.ru/p/MP002XU03XTI;
false;O/S;http://www.lamoda.ru/p/MP002XU03XTM;
false;57,63,;http://www.lamoda.ru/p/MP002XU03XU2;
false;57,63,;http://www.lamoda.ru/p/MP002XU03XU3;
false;63,;http://www.lamoda.ru/p/MP002XU03XU4;
false;55,57,;http://www.lamoda.ru/p/MP002XU03XU5;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU03XU8;
false;57,61,63,;http://www.lamoda.ru/p/MP002XU03XU9;
false;57,63,;http://www.lamoda.ru/p/MP002XU03XUA;
false;59,;http://www.lamoda.ru/p/MP002XU03XUG;
false;55,59,63,;http://www.lamoda.ru/p/MP002XU045TL;
true;O/S;http://www.lamoda.ru/p/MP002XU045TN;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU045TP;
false;55,61,;http://www.lamoda.ru/p/MP002XU045TQ;
false;55,57,61,63,;http://www.lamoda.ru/p/MP002XU045TR;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XU045TT;
false;55,57,63,;http://www.lamoda.ru/p/MP002XU045TW;
false;55,57,59,63,;http://www.lamoda.ru/p/MP002XU045U0;
true;O/S;http://www.lamoda.ru/p/MP002XU045U1;
false;55,63,;http://www.lamoda.ru/p/MP002XU045U3;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU046HZ;
false;Всё доступно;http://www.lamoda.ru/p/MP002XU046I0;
false;57,59,;http://www.lamoda.ru/p/MP002XU046I3;
false;55,57,59,63,;http://www.lamoda.ru/p/MP002XU046I6;
false;59,61,63,;http://www.lamoda.ru/p/MP002XU046I9;
true;O/S;http://www.lamoda.ru/p/MP002XU04806;
false;61,;http://www.lamoda.ru/p/MP002XU04808;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU048BJ;
true;O/S;http://www.lamoda.ru/p/MP002XU048JC;
true;O/S;http://www.lamoda.ru/p/MP002XU048JI;
true;O/S;http://www.lamoda.ru/p/MP002XU048JP;
true;O/S;http://www.lamoda.ru/p/MP002XU048JR;
true;O/S;http://www.lamoda.ru/p/MP002XU048JV;
true;O/S;http://www.lamoda.ru/p/MP002XU048K6;
false;55,57,;http://www.lamoda.ru/p/MP002XU048KA;
false;55,57,59,;http://www.lamoda.ru/p/MP002XU04DN3;
false;55,61,;http://www.lamoda.ru/p/MP002XU04DN5;
false;22,;http://www.lamoda.ru/p/MP002XU04DXC;
false;55,57,61,;http://www.lamoda.ru/p/MP002XU04EM4;
false;O/S;http://www.lamoda.ru/p/MP002XU04EM6;
false;63,;http://www.lamoda.ru/p/MP002XU04EME;
false;61,;http://www.lamoda.ru/p/MP002XU04EMF;
false;55,59,61,63,;http://www.lamoda.ru/p/MP002XU04EMJ;
false;55,63,;http://www.lamoda.ru/p/MP002XU04EMK;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU04EML;
false;55,63,;http://www.lamoda.ru/p/MP002XU04EMM;
false;55,;http://www.lamoda.ru/p/MP002XU04EMN;
false;63,;http://www.lamoda.ru/p/MP002XU04EMQ;
false;55,61,;http://www.lamoda.ru/p/MP002XU04EMS;
false;61,63,;http://www.lamoda.ru/p/MP002XU04EMT;
false;55,61,;http://www.lamoda.ru/p/MP002XU04EMU;
false;55,61,;http://www.lamoda.ru/p/MP002XU04EMV;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU04EN0;
false;55,59,63,;http://www.lamoda.ru/p/MP002XU04EN9;
false;55,61,63,;http://www.lamoda.ru/p/MP002XU04ENB;
false;57,59,61,;http://www.lamoda.ru/p/MP002XU04ENE;
true;O/S;http://www.lamoda.ru/p/MP002XU04M4H;
true;O/S;http://www.lamoda.ru/p/MP002XU04M4L;
false;61,63,;http://www.lamoda.ru/p/MP002XU04M4O;
false;57,61,;http://www.lamoda.ru/p/MP002XU04M4P;
false;63,;http://www.lamoda.ru/p/MP002XU04M4R;
false;58,60,63,;http://www.lamoda.ru/p/MP002XU04M4S;
false;58,60,62,63,;http://www.lamoda.ru/p/MP002XU04M4T;
false;57,58,60,63,;http://www.lamoda.ru/p/MP002XU04M4U;
false;63,;http://www.lamoda.ru/p/MP002XU04M4V;
false;57,63,;http://www.lamoda.ru/p/MP002XU04M4W;
false;57,58,60,61,62,63,;http://www.lamoda.ru/p/MP002XU04M4X;
false;57,63,;http://www.lamoda.ru/p/MP002XU04M4Y;
false;61,63,;http://www.lamoda.ru/p/MP002XU04M4Z;
false;59,61,63,;http://www.lamoda.ru/p/MP002XU04M51;
